id,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,number_of_reviews_ltm,host_is_superhost,accommodates,bedrooms,beds,review_scores_rating,instant_bookable,log_price
396714,Centro Storico,43.78049,11.24462,Hotel room,72.0,551,83,f,2.0,1.0,1.0,4.53,f,4.276666119016055
404451,Isolotto Legnaia,43.77306,11.19181,Entire home/apt,97.0,117,0,f,4.0,1.0,3.0,4.48,f,4.574710978503383
405278,Rifredi,43.79713,11.25299,Entire home/apt,119.0,22,5,t,2.0,1.0,2.0,4.73,f,4.77912349311153
405633,Centro Storico,43.76781,11.25886,Hotel room,180.0,28,0,t,2.0,1.0,2.0,4.93,t,5.19295685089021
408864,Centro Storico,43.7679942,11.2604943,Entire home/apt,177.0,0,0,f,4.0,2.0,2.0,,f,5.176149732573829
412264,Centro Storico,43.77291,11.26426,Entire home/apt,208.0,25,1,t,5.0,2.0,5.0,4.88,t,5.337538079701318
413600,Centro Storico,43.76631428560038,11.243838217267042,Entire home/apt,86.0,153,15,t,4.0,1.0,2.0,4.7,f,4.454347296253507
423556,Centro Storico,43.77345,11.2436,Entire home/apt,350.0,52,0,f,6.0,2.0,4.0,4.72,f,5.857933154483459
424065,Centro Storico,43.77258,11.26095,Entire home/apt,151.0,460,26,t,4.0,1.0,1.0,4.9,f,5.017279836814924
430349,Centro Storico,43.77851,11.25196,Entire home/apt,110.0,147,9,t,5.0,2.0,4.0,4.73,f,4.700480365792417
444641,Centro Storico,43.76804,11.25172,Entire home/apt,130.0,143,0,f,3.0,1.0,2.0,4.59,f,4.867534450455582
450734,Centro Storico,43.7695,11.24082,Private room,96.0,620,68,t,2.0,1.0,1.0,4.75,t,4.564348191467836
451353,Rifredi,43.79113,11.24646,Entire home/apt,99.0,399,3,f,4.0,2.0,2.0,4.51,t,4.59511985013459
456996,Campo di Marte,43.77961,11.27975,Private room,108.0,1,0,t,2.0,1.0,1.0,5.0,f,4.68213122712422
457154,Centro Storico,43.76936,11.24082,Private room,115.0,559,67,t,2.0,1.0,1.0,4.74,t,4.74493212836325
463877,Campo di Marte,43.77954,11.27986,Private room,124.0,2,0,t,4.0,1.0,2.0,5.0,f,4.820281565605037
463942,Campo di Marte,43.78144,11.28003,Private room,85.0,12,1,t,2.0,1.0,1.0,4.75,f,4.442651256490317
463966,Campo di Marte,43.77976,11.2801,Entire home/apt,250.0,50,9,t,8.0,3.0,5.0,4.92,f,5.521460917862246
469515,Centro Storico,43.77023,11.26429,Entire home/apt,206.0,246,0,f,7.0,2.0,4.0,4.69,t,5.327876168789581
471267,Centro Storico,43.78066,11.25774,Entire home/apt,109.0,150,10,t,4.0,1.0,1.0,4.77,t,4.6913478822291435
472854,Centro Storico,43.76797,11.2673,Entire home/apt,284.0,197,4,f,6.0,3.0,5.0,4.61,t,5.648974238161206
479657,Centro Storico,43.77426,11.25699,Entire home/apt,300.0,20,0,f,4.0,1.0,2.0,4.85,f,5.703782474656201
482422,Centro Storico,43.76999,11.25345,Entire home/apt,150.0,0,0,f,2.0,1.0,1.0,,f,5.0106352940962555
485541,Centro Storico,43.78005,11.23944,Entire home/apt,88.0,432,14,t,3.0,1.0,2.0,4.71,t,4.477336814478207
490904,Centro Storico,43.76461,11.245603,Entire home/apt,84.0,22,12,t,2.0,1.0,2.0,4.95,f,4.430816798843313
491105,Campo di Marte,43.79273,11.27445,Private room,72.0,27,0,f,2.0,1.0,2.0,4.85,f,4.276666119016055
494454,Centro Storico,43.7656,11.24738,Entire home/apt,171.0,1,0,f,2.0,1.0,1.0,5.0,f,5.14166355650266
497538,Centro Storico,43.7684,11.24701,Entire home/apt,98.0,150,19,f,2.0,1.0,1.0,4.7,f,4.584967478670572
500709,Centro Storico,43.78455,11.23301,Entire home/apt,86.0,124,3,t,4.0,1.0,1.0,4.77,f,4.454347296253507
501537,Centro Storico,43.77398,11.2451,Entire home/apt,223.0,61,13,t,6.0,1.0,4.0,5.0,f,5.407171771460119
503147,Centro Storico,43.77958,11.24487,Hotel room,69.0,118,41,f,1.0,1.0,1.0,4.75,f,4.23410650459726
505141,Centro Storico,43.76619,11.24702,Entire home/apt,108.0,528,37,t,4.0,1.0,2.0,4.75,t,4.68213122712422
521618,Centro Storico,43.76578,11.24858,Entire home/apt,105.0,121,7,t,2.0,1.0,2.0,4.75,t,4.653960350157523
523048,Centro Storico,43.75932,11.24215,Entire home/apt,170.0,0,0,f,4.0,1.0,2.0,,f,5.135798437050262
523095,Centro Storico,43.75865,11.2429,Entire home/apt,120.0,12,2,f,1.0,1.0,1.0,4.75,f,4.787491742782046
